Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Fri Feb 25 15:27:41 EST 2022,Parser.java,1645820861396,15186,0,(I)3(R)1(I)5(R)1(I)12,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,1.4666666666666666,0.0,0.0,0.0,0.0,0.13333333333333333,1.3333333333333333,0.0,[]
,/modelData/A0UserStudy2010.arff,Fri Feb 25 15:27:41 EST 2022,Parser.java, 1645820861396
2,,Fri Feb 25 15:27:56 EST 2022,Parser.java,1645820876595,-18,-18,(I)2(F)2(I)3(R)1(I)15,0.8695652173913043,0.0,0.0,8.695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
3,,Fri Feb 25 15:27:56 EST 2022,Parser.java,1645820876589,6188,6188,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0,4.166666666666667,0.0,[]
4,,Fri Feb 25 15:28:02 EST 2022,Parser.java,1645820882916,31358,0,(I)9(D)4(I)1,0.7142857142857143,28.57142857142857,0.0,0.0,0.0,0.0,0.45161290322580644,0.0,0.12903225806451613,0.0,0.0,0.0,0.3225806451612903,0.0,[]
5,,Fri Feb 25 15:28:56 EST 2022,Parser.java,1645820936853,167944,0,(I)8(D)4(I)6(F)1(N)1,0.7,20.0,5.0,5.0,0.0,0.0,0.11976047904191617,0.005988023952095809,0.023952095808383235,0.005988023952095809,0.0,0.0,0.08383233532934131,0.0,[]
6,,Fri Feb 25 15:31:55 EST 2022,Parser.java,1645821115380,71003,0,(N)1(F)1(I)21,0.9130434782608695,0.0,4.3478260869565215,4.3478260869565215,0.0,0.0,0.323943661971831,0.014084507042253521,0.0,0.014084507042253521,0.0,0.0,0.29577464788732394,0.0,[]
7,,Fri Feb 25 15:33:07 EST 2022,Parser.java,1645821187030,12105,0,(I)11(R)2(I)11,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.8333333333333333,0.0,[]
8,,Fri Feb 25 15:33:19 EST 2022,Parser.java,1645821199239,1619,1619,(I)4(R)2(I)14,0.9,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,2.0,18.0,0.0,[]
9,,Fri Feb 25 15:33:22 EST 2022,Parser.java,1645821202000,6904,6904,(I)5(R)1(I)14,0.95,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.16666666666666666,3.1666666666666665,0.0,[]
